date,da_hiking,rt_hiking
2023-01-01,1320.2105562674574,943.2999419373057
2023-01-02,1424.203510658173,1040.73004661606
2023-01-03,1060.4899760187127,1499.9999958627773
2023-01-04,1416.230325775036,1245.630028092793
2023-01-05,632.3022422679409,484.99999911961265
2023-01-06,389.3333333332391,359.9999999985244
2023-01-07,1500.0,1499.9998861574472
2023-01-08,946.547926703016,1065.2316762576052
2023-01-09,1216.1783392674529,1180.3986292696181
2023-01-10,934.4971284846625,1499.9996877986205
2023-01-11,811.150716204381,1395.3505348782949
2023-01-12,981.4362651229256,841.6401047001402
2023-01-13,1500.0,830.0044754512581
2023-01-14,699.9998961780282,1499.9969753242476
2023-01-15,376.0720000035022,228.48727272736988
2023-01-16,340.0000000048788,320.20399998413654
2023-01-17,434.04000234169786,850.0000172239231
2023-01-18,316.892857140608,365.71333334627855
2023-01-19,287.058823529339,348.7500000082091
2023-01-20,578.74999813013,1199.5000209568602
2023-01-21,650.000017476028,999.000148590168
2023-01-22,433.8562501191799,398.39999999324084
2023-01-23,0.0,0.0
2023-01-24,1249.9998361927692,1499.999423836763
2023-01-25,354.99999999904645,372.0000000083512
2023-01-26,396.9333333352064,365.0000000149182
2023-01-27,349.66666666597723,157.49999999910625
2023-01-28,382.78666666748865,332.36000000182673
2023-01-29,960.0000248503554,1099.9999923868631
2023-01-30,500.00000346391823,392.2666666443465
2023-01-31,398.4499999991899,347.5000000049473
2023-02-01,568.3371104627247,1483.750248409457
2023-02-02,798.0007943274595,935.7270380227982
2023-02-03,528.9999696215475,539.500002964681
2023-02-04,1198.9936605138437,1064.516970758595
2023-02-05,520.6261054116695,625.0000113443423
2023-02-06,1499.9816973342035,1441.5898819816223
2023-02-07,725.000565676499,612.516445584744
2023-02-08,566.6665982343267,664.3774953146278
2023-02-09,518.7099517731301,1293.7497067942559
2023-02-10,421.25000275225784,586.8509258510112
2023-02-11,659.9999914480759,1232.6053504328593
2023-02-12,1003.7923025312014,945.7200247939799
2023-02-13,1074.7510142440392,1006.7123337923688
2023-02-14,855.570465352616,794.8143395699084
2023-02-15,793.9344628963153,1063.5490519026396
2023-02-16,1467.6185554619324,1228.1900660479964
2023-02-17,685.523110066682,688.6800245233984
2023-02-18,502.1312499542406,1012.4888076073873
2023-02-19,390.1449999824604,329.510000000294
2023-02-20,1211.1050223661734,774.5300748916801
2023-02-21,588.3949360536026,479.9142889214437
2023-02-22,785.0005694567778,956.9683023047372
2023-02-23,532.6749775245435,533.8719867072193
2023-02-24,550.0001722428253,499.99998099734626
2023-02-25,498.28998307650534,473.3333410148414
2023-02-26,441.9640030386578,408.8999997386767
2023-02-27,450.0000020190949,445.8333325622102
2023-02-28,435.50000247828575,398.40000008986
2023-03-01,602.9692440013256,450.36000199689664
2023-03-02,399.9999999567822,419.9999997131699
2023-03-03,412.8079997505063,458.61700472362014
2023-03-04,700.0004036902684,1115.230488208584
2023-03-05,404.99999996529084,397.133333308836
2023-03-06,473.57331748152853,457.12000357049004
2023-03-07,398.39999997835076,405.13333332735624
2023-03-08,465.4280031146677,386.2400000259957
2023-03-09,397.9999999926305,1142.8800667346331
2023-03-10,393.46500004347985,856.0860229961987
2023-03-11,416.6153803992507,549.9999963489504
2023-03-12,344.57999999958577,389.9999999997134
2023-03-13,414.66666636227893,411.79999995456876
2023-03-14,401.16666672146437,392.6133333310461
2023-03-15,491.7933071152624,1500.0
2023-03-16,418.6250023327833,824.9908062273787
2023-03-17,950.2335133625731,719.9723274137189
2023-03-18,979.7936545806988,1021.9680757953058
2023-03-19,531.5042878512788,422.2450020961928
2023-03-20,467.56091367774036,529.6722797571396
2023-03-21,392.39999981163805,383.1612500599198
2023-03-22,564.0002770977849,588.7499723590493
2023-03-23,793.3545822084175,599.0808074200478
2023-03-24,449.7919930760591,684.6757545105788
2023-03-25,519.8810714514036,1068.2520559766958
2023-03-26,431.38887856640736,495.0000064039175
2023-03-27,553.000276298271,1002.3097344346709
2023-03-28,491.4852630838702,440.0000019169106
2023-03-29,602.6283890874836,1128.2853463560086
2023-03-30,532.648304451057,849.499846380501
2023-03-31,426.86000154870396,1499.999541270984
2023-04-01,497.06780971059754,466.24727655023327
2023-04-02,398.8857142947524,380.3599999955619
2023-04-03,396.696000065275,411.2499999311304
2023-04-04,671.6098789925011,915.4204795950179
2023-04-05,882.4935638411766,777.1109865085606
2023-04-06,397.6749999287993,451.00000444172844
2023-04-07,447.8255602076775,1162.799594075909
2023-04-08,926.2497182691475,525.0220069168146
2023-04-09,387.0766667458815,380.87600000244186
2023-04-10,331.2500000001062,351.8227272724673
2023-04-11,1261.5727503143462,1499.9950414742043
2023-04-12,544.7505112754628,798.008428312971
2023-04-13,386.06499999811814,408.86666616532
2023-04-14,1499.9931789113202,1496.6303341039004
2023-04-15,780.2637758340094,973.4997253755714
2023-04-16,545.3730404569708,1500.0
2023-04-17,449.9999816696145,373.5066666617505
2023-04-18,641.2221255385841,430.00000054074485
2023-04-19,357.3733333351232,363.33333333490236
2023-04-20,389.0000000067735,384.9999998647437
2023-04-21,656.150002684328,912.0011339542588
2023-04-22,699.9980604802839,543.7777500347
2023-04-23,458.99914507659884,400.34555622742835
2023-04-24,777.378093226903,761.3158774207059
2023-04-25,750.5110428787243,1500.0
2023-04-26,417.51525859245623,464.999993120817
2023-04-27,744.9947545919806,449.99999271818274
2023-04-28,397.36000008341,398.47999988260716
2023-04-29,419.9999935497796,428.6666694001121
2023-04-30,492.5009364562309,1132.0011888434585
2023-05-01,358.86272540795187,349.9999999998061
