horizon,method,date,time,true,pred
5,baseline,2025-03-06,2025-03-06 00:00:00,315.75,306.56736842105255
5,baseline,2025-03-06,2025-03-06 01:00:00,314.25,306.56736842105255
5,baseline,2025-03-06,2025-03-06 02:00:00,348.75,304.96308271872874
5,baseline,2025-03-06,2025-03-06 03:00:00,350.0,302.7031851474161
5,baseline,2025-03-06,2025-03-06 04:00:00,350.0,320.7743575348716
5,baseline,2025-03-06,2025-03-06 05:00:00,399.0,400.31149726318165
5,baseline,2025-03-06,2025-03-06 06:00:00,815.1700000000001,485.7323172910782
5,baseline,2025-03-06,2025-03-06 07:00:00,1101.025,514.8619658760035
5,baseline,2025-03-06,2025-03-06 08:00:00,799.0,403.6714229133991
5,baseline,2025-03-06,2025-03-06 09:00:00,345.0,296.7814647569273
5,baseline,2025-03-06,2025-03-06 10:00:00,295.0,249.2768013844912
5,baseline,2025-03-06,2025-03-06 11:00:00,242.25,191.97077567531204
5,baseline,2025-03-06,2025-03-06 12:00:00,4.9675,46.01360551235206
5,baseline,2025-03-06,2025-03-06 13:00:00,24.240000000000002,30.999336394069367
5,baseline,2025-03-06,2025-03-06 14:00:00,46.557500000000005,73.31646751916978
5,baseline,2025-03-06,2025-03-06 15:00:00,198.8025,225.78372399559905
5,baseline,2025-03-06,2025-03-06 16:00:00,311.0,287.96053915295204
5,baseline,2025-03-06,2025-03-06 17:00:00,633.8175,397.1519518841052
5,baseline,2025-03-06,2025-03-06 18:00:00,712.575,514.8619658760035
5,baseline,2025-03-06,2025-03-06 19:00:00,381.5,455.67956499962986
5,baseline,2025-03-06,2025-03-06 20:00:00,350.0,376.0316944444628
5,baseline,2025-03-06,2025-03-06 21:00:00,350.0,328.3992689005729
5,baseline,2025-03-06,2025-03-06 22:00:00,319.75,304.5786557067487
5,baseline,2025-03-06,2025-03-06 23:00:00,297.25,305.6481058681289
5,baseline,2025-03-07,2025-03-07 00:00:00,277.0,260.7601125049949
5,baseline,2025-03-07,2025-03-07 01:00:00,273.5,256.0306371215964
5,baseline,2025-03-07,2025-03-07 02:00:00,273.5,256.0306371215964
5,baseline,2025-03-07,2025-03-07 03:00:00,276.75,256.0306371215964
5,baseline,2025-03-07,2025-03-07 04:00:00,276.5,256.0306371215964
5,baseline,2025-03-07,2025-03-07 05:00:00,279.25,256.0306371215964
5,baseline,2025-03-07,2025-03-07 06:00:00,282.25,265.5469125275989
5,baseline,2025-03-07,2025-03-07 07:00:00,298.5,276.9109529852695
5,baseline,2025-03-07,2025-03-07 08:00:00,317.0,299.37314457714865
