horizon,method,date,time,true,pred
4,baseline,2025-03-05,2025-03-05 00:00:00,315.75,317.15133333333335
4,baseline,2025-03-05,2025-03-05 01:00:00,314.25,317.15133333333335
4,baseline,2025-03-05,2025-03-05 02:00:00,348.75,317.9023734445726
4,baseline,2025-03-05,2025-03-05 03:00:00,350.0,322.0629679705137
4,baseline,2025-03-05,2025-03-05 04:00:00,350.0,335.25848602521006
4,baseline,2025-03-05,2025-03-05 05:00:00,399.0,377.10218401346106
4,baseline,2025-03-05,2025-03-05 06:00:00,815.1700000000001,427.4187992678401
4,baseline,2025-03-05,2025-03-05 07:00:00,1101.025,463.33957449141406
4,baseline,2025-03-05,2025-03-05 08:00:00,799.0,378.46671022741185
4,baseline,2025-03-05,2025-03-05 09:00:00,345.0,303.87286004847283
4,baseline,2025-03-05,2025-03-05 10:00:00,295.0,259.42004715603457
4,baseline,2025-03-05,2025-03-05 11:00:00,242.25,191.05910846441728
4,baseline,2025-03-05,2025-03-05 12:00:00,4.9675,36.019282799142985
4,baseline,2025-03-05,2025-03-05 13:00:00,24.240000000000002,28.394697764739107
4,baseline,2025-03-05,2025-03-05 14:00:00,46.557500000000005,60.10102940140436
4,baseline,2025-03-05,2025-03-05 15:00:00,198.8025,232.09874390653147
4,baseline,2025-03-05,2025-03-05 16:00:00,311.0,294.45605760045237
4,baseline,2025-03-05,2025-03-05 17:00:00,633.8175,376.7997783269291
4,baseline,2025-03-05,2025-03-05 18:00:00,712.575,463.33957449141406
4,baseline,2025-03-05,2025-03-05 19:00:00,381.5,407.81253192324317
4,baseline,2025-03-05,2025-03-05 20:00:00,350.0,365.9626142882445
4,baseline,2025-03-05,2025-03-05 21:00:00,350.0,340.4593801867963
4,baseline,2025-03-05,2025-03-05 22:00:00,319.75,320.7175464161612
4,baseline,2025-03-05,2025-03-05 23:00:00,297.25,307.02256792453437
4,baseline,2025-03-06,2025-03-06 00:00:00,277.0,276.8201413687716
4,baseline,2025-03-06,2025-03-06 01:00:00,273.5,271.88356373265776
4,baseline,2025-03-06,2025-03-06 02:00:00,273.5,271.88356373265776
4,baseline,2025-03-06,2025-03-06 03:00:00,276.75,271.88356373265776
4,baseline,2025-03-06,2025-03-06 04:00:00,276.5,271.88356373265776
4,baseline,2025-03-06,2025-03-06 05:00:00,279.25,271.88356373265776
4,baseline,2025-03-06,2025-03-06 06:00:00,282.25,281.21595750547243
4,baseline,2025-03-06,2025-03-06 07:00:00,298.5,288.97116432603605
