horizon,method,date,time,true,pred
2,baseline,2025-03-03,2025-03-03 00:00:00,315.75,313.11884615384616
2,baseline,2025-03-03,2025-03-03 01:00:00,314.25,313.11884615384616
2,baseline,2025-03-03,2025-03-03 02:00:00,348.75,314.51896485231237
2,baseline,2025-03-03,2025-03-03 03:00:00,350.0,320.53915481969216
2,baseline,2025-03-03,2025-03-03 04:00:00,350.0,323.905806077386
2,baseline,2025-03-03,2025-03-03 05:00:00,399.0,331.4674925160607
2,baseline,2025-03-03,2025-03-03 06:00:00,815.1700000000001,394.75540189720783
2,baseline,2025-03-03,2025-03-03 07:00:00,1101.025,475.0503278329638
2,baseline,2025-03-03,2025-03-03 08:00:00,799.0,339.9644769195268
2,baseline,2025-03-03,2025-03-03 09:00:00,345.0,306.1267761958656
2,baseline,2025-03-03,2025-03-03 10:00:00,295.0,272.93425561083535
2,baseline,2025-03-03,2025-03-03 11:00:00,242.25,204.74949109427837
2,baseline,2025-03-03,2025-03-03 12:00:00,4.9675,30.019153071580938
2,baseline,2025-03-03,2025-03-03 13:00:00,24.240000000000002,26.865315501490556
2,baseline,2025-03-03,2025-03-03 14:00:00,46.557500000000005,56.36598930350916
2,baseline,2025-03-03,2025-03-03 15:00:00,198.8025,246.73704372556085
2,baseline,2025-03-03,2025-03-03 16:00:00,311.0,299.7697791869516
2,baseline,2025-03-03,2025-03-03 17:00:00,633.8175,351.44165866265007
2,baseline,2025-03-03,2025-03-03 18:00:00,712.575,475.0503278329638
2,baseline,2025-03-03,2025-03-03 19:00:00,381.5,365.0343826538538
2,baseline,2025-03-03,2025-03-03 20:00:00,350.0,328.00979773149913
2,baseline,2025-03-03,2025-03-03 21:00:00,350.0,324.79820147445474
2,baseline,2025-03-03,2025-03-03 22:00:00,319.75,317.9029688153289
2,baseline,2025-03-03,2025-03-03 23:00:00,297.25,308.0612274792149
2,baseline,2025-03-04,2025-03-04 00:00:00,277.0,278.033001776895
2,baseline,2025-03-04,2025-03-04 01:00:00,273.5,273.28125192253526
2,baseline,2025-03-04,2025-03-04 02:00:00,273.5,273.28125192253526
2,baseline,2025-03-04,2025-03-04 03:00:00,276.75,273.28125192253526
2,baseline,2025-03-04,2025-03-04 04:00:00,276.5,273.28125192253526
2,baseline,2025-03-04,2025-03-04 05:00:00,279.25,273.28125192253526
2,baseline,2025-03-04,2025-03-04 06:00:00,282.25,281.7915213774958
2,baseline,2025-03-04,2025-03-04 07:00:00,298.5,287.4091349258311
2,baseline,2025-03-04,2025-03-04 08:00:00,317.0,304.1749071656165
2,baseline,2025-03-04,2025-03-04 09:00:00,317.5,305.60808831795043
2,baseline,2025-03-04,2025-03-04 10:00:00,315.75,306.63106623846284
2,baseline,2025-03-04,2025-03-04 11:00:00,307.5,304.1749071656165
2,baseline,2025-03-04,2025-03-04 12:00:00,299.75,294.598
2,baseline,2025-03-04,2025-03-04 13:00:00,294.5,292.361679748387
2,baseline,2025-03-04,2025-03-04 14:00:00,293.5,293.6810206755407
2,baseline,2025-03-04,2025-03-04 15:00:00,300.0,299.8753637086147
2,baseline,2025-03-04,2025-03-04 16:00:00,317.5,309.20245619201137
2,baseline,2025-03-04,2025-03-04 17:00:00,333.85,315.06125989974373
2,baseline,2025-03-04,2025-03-04 18:00:00,339.0,325.45
2,baseline,2025-03-04,2025-03-04 19:00:00,325.5,321.71469928549277
2,baseline,2025-03-04,2025-03-04 20:00:00,318.5,316.5925798597764
2,baseline,2025-03-04,2025-03-04 21:00:00,319.0,312.3637494844117
2,baseline,2025-03-04,2025-03-04 22:00:00,308.75,306.7462971191651
2,baseline,2025-03-04,2025-03-04 23:00:00,298.0,287.82210748034845
2,baseline,2025-03-05,2025-03-05 00:00:00,292.0,281.5410099128234
2,baseline,2025-03-05,2025-03-05 01:00:00,283.96000000000004,282.93367060143987
2,baseline,2025-03-05,2025-03-05 02:00:00,282.35,283.39789083097867
2,baseline,2025-03-05,2025-03-05 03:00:00,282.2,283.39789083097867
2,baseline,2025-03-05,2025-03-05 04:00:00,282.53,283.2670945938222
2,baseline,2025-03-05,2025-03-05 05:00:00,284.85,282.3386541347446
2,baseline,2025-03-05,2025-03-05 06:00:00,320.0,285.47463254209583
2,baseline,2025-03-05,2025-03-05 07:00:00,347.5,291.2147955419889
2,baseline,2025-03-05,2025-03-05 08:00:00,350.0,296.6663809651498
2,baseline,2025-03-05,2025-03-05 09:00:00,324.5,286.8649120603287
2,baseline,2025-03-05,2025-03-05 10:00:00,291.9375,282.23304451368165
2,baseline,2025-03-05,2025-03-05 11:00:00,278.9475,282.12075156979586
2,baseline,2025-03-05,2025-03-05 12:00:00,269.3675,272.61419006384915
2,baseline,2025-03-05,2025-03-05 13:00:00,273.24,277.6553252785864
2,baseline,2025-03-05,2025-03-05 14:00:00,281.8675,282.23304451368165
2,baseline,2025-03-05,2025-03-05 15:00:00,297.0,284.2345930567622
2,baseline,2025-03-05,2025-03-05 16:00:00,369.25,301.34612497015536
2,baseline,2025-03-05,2025-03-05 17:00:00,1169.0,345.450364596072
2,baseline,2025-03-05,2025-03-05 18:00:00,1101.0,393.7095443899169
2,baseline,2025-03-05,2025-03-05 19:00:00,1089.5,364.0757206576085
2,baseline,2025-03-05,2025-03-05 20:00:00,1105.0,364.0757206576085
2,baseline,2025-03-05,2025-03-05 21:00:00,1189.725,350.4098841204822
