Date,Pred_Label,Pred_Probability,True_Label
2025-07-28,1,0.57132035,1
2025-07-29,1,0.5676691,1
2025-07-30,0,0.43962306,0
2025-07-31,0,0.48691472,0
2025-08-01,0,0.45954224,0
2025-08-02,1,0.5126174,1
2025-08-03,0,0.4587628,1
2025-08-04,0,0.47250977,1
2025-08-05,1,0.51390743,0
2025-08-06,0,0.4985744,0
2025-08-07,0,0.4013842,0
2025-08-08,0,0.48284668,0
