Date,Pred_Label,Pred_Probability,True_Label
2025-07-28,1,0.5489661,1
2025-07-29,1,0.5494616,1
2025-07-30,1,0.51887745,0
2025-07-31,1,0.5386641,0
2025-08-01,1,0.5323308,0
2025-08-02,1,0.5436232,1
2025-08-03,1,0.53187776,1
2025-08-04,1,0.5374301,1
2025-08-05,1,0.5425958,0
2025-08-06,1,0.5446279,0
2025-08-07,0,0.492237,0
2025-08-08,1,0.54220444,0
