Date,True_Label,Pred_Label,Pred_Probability
2025-07-28,1,1,0.57127196
2025-07-29,1,1,0.56764376
2025-07-30,0,0,0.43987113
2025-07-31,0,0,0.48703936
2025-08-01,0,0,0.4597322
2025-08-02,1,1,0.51273227
2025-08-03,1,0,0.458782
2025-08-04,1,0,0.472506
2025-08-05,0,1,0.5140781
2025-08-06,0,0,0.49869457
2025-08-07,0,0,0.40128157
2025-08-08,0,0,0.48295826
