Date,Pred_Label,Pred_Probability,True_Label
2025-02-15,0,0.3644276,0
2025-02-16,1,0.549149,0
2025-02-17,1,0.593587,1
2025-02-18,1,0.5803207,1
2025-02-19,1,0.5860882,1
2025-02-20,1,0.57534933,1
2025-02-21,1,0.52826345,1
2025-02-22,0,0.4366762,0
2025-02-23,1,0.5157933,1
2025-02-24,0,0.38513154,0
2025-02-25,0,0.46514276,1
2025-02-26,0,0.49669895,0
2025-02-27,0,0.46116015,0
2025-02-28,0,0.43341637,0
2025-03-01,0,0.43776995,1
2025-03-02,0,0.3972482,0
2025-03-03,0,0.49115342,1
2025-03-04,1,0.5749981,1
2025-03-05,0,0.46182525,0
2025-03-06,0,0.49479228,1
2025-03-07,0,0.43781447,0
2025-03-08,0,0.3511418,0
2025-03-09,0,0.25249517,0
2025-03-10,0,0.4341174,0
2025-03-11,0,0.16474523,0
2025-03-12,1,0.60911375,1
2025-03-13,1,0.55217415,1
2025-03-14,1,0.61132056,1
2025-03-15,0,0.31912535,0
2025-03-16,0,0.26928025,0
2025-03-17,0,0.23177257,0
2025-03-18,0,0.3814737,0
2025-03-19,0,0.3399451,0
2025-03-20,0,0.28722864,0
2025-03-21,0,0.29820767,0
2025-03-22,0,0.29980034,0
2025-03-23,0,0.2488699,0
2025-03-24,0,0.31459925,0
2025-03-25,1,0.6021759,1
2025-03-26,0,0.31201726,0
2025-03-27,0,0.34492838,0
2025-03-28,0,0.35927427,0
2025-03-29,1,0.58097094,1
2025-03-30,1,0.6026035,1
2025-03-31,0,0.4834515,0
2025-04-01,0,0.31115317,0
2025-04-02,1,0.6107356,1
2025-04-03,0,0.3615632,0
2025-04-04,0,0.21851888,0
2025-04-05,0,0.4411874,0
2025-04-06,0,0.4157069,0
2025-04-07,1,0.5930447,1
2025-04-08,1,0.5479333,1
2025-04-09,0,0.4861248,0
2025-04-10,0,0.43517843,1
2025-04-11,0,0.19682355,0
2025-04-12,0,0.2320555,0
2025-04-13,0,0.23919578,0
2025-04-14,0,0.42005566,0
2025-04-15,1,0.5937767,1
2025-04-16,0,0.4188127,0
2025-04-17,1,0.6297207,1
2025-04-18,1,0.60970044,1
2025-04-19,1,0.5564103,0
2025-04-20,0,0.20770048,0
2025-04-21,0,0.25553772,0
